"ID Caso","US asociada","Objetivo","Precondición","Datos de entrada","Pasos","Resultado Esperado","Prioridad","Tipo","Ejecutor"
"TC-091","US-16","Configurar la cuota social de una categoría para el período siguiente","Administrador logueado; existe la categoría de socio","categoriaId de ""Cuota General"", monto 15000, sin período explícito","1. Abrir Cuotas > Cuota social
2. Elegir la categoría y el monto
3. Guardar","El sistema crea la configuración con el período siguiente (YYYY-MM), la deja inactiva hasta que ese período llegue y registra la operación en auditoría (HTTP 201)","Alta","Funcional","Gazzola Lucas"
"TC-092","US-16","Rechazar un período de aplicación anterior al siguiente","Administrador logueado","categoriaId válido, monto 15000, periodoAplicacion de un mes ya pasado","1. Enviar la configuración indicando un período pasado","El sistema responde 400 con el mensaje ""El período AAAA-MM no es válido: los cambios de cuota aplican a partir del período siguiente (AAAA-MM)""","Alta","Funcional","Gazzola Lucas"
"TC-093","US-16","Rechazar el período actual: los cambios aplican desde el siguiente","Administrador logueado","categoriaId válido, monto 15000, periodoAplicacion = mes en curso","1. Enviar la configuración indicando el mes en curso","El sistema responde 400 y no guarda la configuración: el mínimo admitido es el período siguiente","Alta","Funcional","Gazzola Lucas"
"TC-094","US-16","Rechazar un monto menor o igual a cero","Administrador logueado","categoriaId válido, monto 0","1. Enviar la configuración con monto 0","El sistema responde 400 indicando que el monto no puede ser menor a 0.01 y no guarda la configuración","Alta","Unitario","Gazzola Lucas"
"TC-095","US-16","Rechazar un período con formato inválido","Administrador logueado","periodoAplicacion ""2026-13""","1. Enviar la configuración con el período mal formado","El sistema responde 400 con el mensaje ""periodoAplicacion debe tener el formato YYYY-MM (ej: 2026-10)""","Media","Unitario","Gazzola Lucas"
"TC-096","US-16","Rechazar una categoría de socio inexistente","Administrador logueado","categoriaId inexistente, monto 15000","1. Enviar la configuración con una categoría que no existe","El sistema responde 404 con el mensaje ""Categoría de socio no encontrada""","Alta","Funcional","Gazzola Lucas"
"TC-097","US-16","Actualizar el monto de una configuración ya existente para el mismo período","Existe una configuración de esa categoría y ese período","Mismo categoriaId y período, monto distinto","1. Enviar la configuración con el monto nuevo","El sistema actualiza el monto de la configuración existente en lugar de duplicarla y registra la edición en auditoría","Alta","Funcional","Gazzola Lucas"
"TC-098","US-16","Mantener una sola cuota social vigente por categoría","Existen dos configuraciones de la misma categoría, una de ellas activa","id de la configuración a activar, activo = true","1. Activar la otra configuración de la misma categoría","El sistema activa la indicada y desactiva automáticamente las demás de esa categoría","Alta","Integración","Gazzola Lucas"
"TC-099","US-16","Calcular el período siguiente cuando el mes en curso es diciembre","Sistema con fecha en diciembre","Configuración sin período explícito","1. Configurar la cuota social sin indicar el período","El sistema toma enero del año siguiente como período de aplicación (no diciembre ni un mes 13)","Media","Unitario","Gazzola Lucas"
"TC-100","US-16","Impedir configurar la cuota social sin rol de administrador","Usuario logueado sin rol ADMIN","Petición POST /cuota-social","1. Enviar la configuración con un usuario SOCIO","El sistema responde 403 con el mensaje ""No tenés permisos suficientes para esta operación""","Alta","No funcional","Gazzola Lucas"
"TC-101","US-16","Consultar la cuota social vigente de cada categoría","Existen configuraciones de períodos pasados y futuros","Sin parámetros","1. Consultar las cuotas vigentes","El sistema devuelve, por categoría, la configuración del período más reciente que ya esté vigente, ignorando las futuras","Media","Funcional","Gazzola Lucas"
"TC-102","US-32","No dejar registro en el log si la operación auditada se revierte","Usuario logueado ejecutando una operación auditable","Operación que falla después de registrar la auditoría","1. Ejecutar una operación auditable que se interrumpa antes de confirmarse","El registro de auditoría se descarta junto con la operación: la auditoría se escribe dentro de la misma transacción (RNF07) y no queda rastro de algo que no ocurrió","Alta","No funcional","Gazzola Lucas"
"TC-103","US-32","Filtrar el log de auditoría por tipo de acción","Administrador logueado; el log tiene registros de varias acciones","accion = CREAR","1. Abrir Auditoría
2. Filtrar por la acción CREAR","El sistema devuelve únicamente los registros de esa acción, del más reciente al más antiguo","Alta","Funcional","Gazzola Lucas"
"TC-104","US-32","Filtrar el log de auditoría por rango de fechas","Administrador logueado; el log tiene registros de distintas fechas","fechaDesde y fechaHasta","1. Filtrar el log indicando el rango de fechas","El sistema devuelve solo los registros comprendidos en ese rango; admite también un solo extremo del rango","Media","Funcional","Gazzola Lucas"
"TC-105","US-32","Paginar el log de auditoría y devolver el total de registros","Administrador logueado; el log tiene más registros que el tamaño de página","pagina 3, porPagina 20","1. Consultar la tercera página del log","El sistema devuelve los registros de esa página (salteando los 40 anteriores) junto con el total, la página y el tamaño de página","Media","Funcional","Gazzola Lucas"
"TC-106","US-32","Rechazar un filtro con una acción inexistente","Administrador logueado","accion = ""INVENTADA""","1. Consultar el log filtrando por una acción que no existe","El sistema responde 400 enumerando las acciones válidas (CREAR, EDITAR, BAJA, REACTIVAR, LOGIN, LOGOUT, LOGIN_FALLIDO)","Media","Unitario","Gazzola Lucas"
"TC-107","US-32","Impedir consultar el log de auditoría sin rol de administrador","Usuario logueado sin rol ADMIN","Petición GET /auditoria","1. Consultar el log con un usuario SOCIO","El sistema responde 403 con el mensaje ""No tenés permisos suficientes para esta operación""","Alta","No funcional","Gazzola Lucas"
