"ID Caso","US asociada","Objetivo","Precondición","Datos de entrada","Pasos","Resultado Esperado","Prioridad","Tipo","Ejecutor"
"TC-001","US-01","Registrar un usuario válido","Administrador logueado","Nombre, DNI, correo y rol válidos","1. Abrir formulario
2. Completar datos 
3. Guardar","El usuario se registra correctamente y aparece mensaje de éxito","Alta","Unitario","Rodriguez Gonzalo"
"TC-002","US-01","Validar DNI duplicado","Existe un usuario con DNI 12345678","DNI repetido","Registrar nuevo usuario con mismo DNI","El sistema impide guardar e informa que el DNI ya existe","Alta","Unitario","Rodriguez Gonzalo"
"TC-003","US-01","Validar correo duplicado","Existe un usuario con correo registrado","Correo repetido","Registrar usuario con mismo correo","El sistema muestra error y no guarda","Media","Unitario","Rodriguez Gonzalo"
"TC-004","US-01","Guardar correctamente el rol","Administrador logueado","Rol Secretario","Registrar usuario","El usuario queda con el rol seleccionado","Media","Unitario","Rodriguez Gonzalo"
"TC-005","US-01","Confirmar registro exitoso","Datos válidos","Datos válidos","Registrar usuario","Se muestra mensaje de registro exitoso","Baja","Unitario","Rodriguez Gonzalo"
"TC-006","US-02","Crear un usuario de gestión con datos válidos","Administrador logueado","Nombre, DNI, correo y rol válidos","1. Abrir formulario de creación de usuario 
2. Completar datos básicos y rol 
3. Guardar","El usuario se crea correctamente y el sistema muestra un mensaje de confirmación","Alta","Unitario","Guajardo Lautaro"
"TC-007","US-02","Validar que no se puede crear un usuario con DNI ya existente","Existe un usuario registrado con DNI ""12345678""","Nuevo usuario con DNI ""12345678""","1. Abrir formulario de creación de usuario 
2. Completar datos con DNI ya existente
3. Guardar","El sistema rechaza la operación y muestra un mensaje indicando que el DNI ya está registrado","Alta","Unitario","Guajardo Lautaro"
"TC-008","US-02","Validar que no se puede crear un usuario con correo ya existente","Existe un usuario registrado con correo ""admin@mail.com""","Nuevo usuario con correo ""admin@mail.com""","1. Abrir formulario de creación de usuario 
2. Completar datos con correo ya existente 
3. Guardar","El sistema rechaza la operación y muestra un mensaje indicando que el correo ya está registrado","Alta","Unitario","Guajardo Lautaro"
"TC-009","US-02","Editar los datos de un usuario de gestión existente","Usuario de gestión previamente creado","Nuevo nombre y correo válidos","1. Buscar y seleccionar usuario existente
2. Modificar nombre y correo 
3. Guardar cambios","Los datos del usuario se actualizan correctamente y el sistema muestra un mensaje de confirmación","Alta","Unitario","Guajardo Lautaro"
"TC-010","US-02","Editar el rol de un usuario de gestión existente","Usuario de gestión previamente creado con rol ""Secretario""","Nuevo rol ""Administrador""","1. Buscar y seleccionar usuario existente 
2. Modificar el rol asignado
3. Guardar cambios","El rol del usuario se actualiza correctamente y el sistema muestra un mensaje de confirmación","Alta","Funcional","Guajardo Lautaro"
