US asociada	Objetivo	Precondición	Datos de entrada	Pasos	Resultado Esperado	Prioridad	Tipo
US-16	Configurar la cuota social de una categoría para el período siguiente	Administrador logueado; existe la categoría de socio	categoriaId válido, monto 15000, sin período	1. Abrir Cuotas > Cuota social / 2. Elegir la categoría y el monto / 3. Guardar	El sistema crea la configuración para el período siguiente, la deja inactiva hasta que ese período llegue y registra la operación en auditoría	Alta	Funcional
US-16	Rechazar un período anterior al siguiente	Administrador logueado	categoriaId válido, monto 15000, periodoAplicacion de un mes ya pasado	1. Enviar la configuración con un período pasado	El sistema responde 400 e informa que los cambios de cuota aplican a partir del período siguiente	Alta	Funcional
US-16	Rechazar un monto menor o igual a cero	Administrador logueado	categoriaId válido, monto 0	1. Enviar la configuración con monto 0	El sistema responde 400 y no guarda la configuración	Alta	Unitaria
US-16	Rechazar un período con formato inválido	Administrador logueado	periodoAplicacion "2026-13"	1. Enviar la configuración con el período mal formado	El sistema responde 400 indicando que el período debe tener el formato YYYY-MM	Media	Unitaria
US-16	Rechazar una categoría de socio inexistente	Administrador logueado	categoriaId inexistente, monto 15000	1. Enviar la configuración con una categoría que no existe	El sistema responde 404 e informa que la categoría de socio no fue encontrada	Alta	Funcional
US-16	Actualizar el monto de una configuración ya existente para el mismo período	Existe una configuración de esa categoría y período	Mismo categoriaId y período, monto nuevo	1. Enviar la configuración con el monto nuevo	El sistema actualiza el monto en lugar de duplicar la configuración y registra la edición en auditoría	Alta	Funcional
US-16	Mantener una sola cuota vigente por categoría al activar otra	Existen dos configuraciones de la misma categoría, una activa	id de la configuración a activar, activo true	1. Activar la otra configuración	El sistema activa la indicada y desactiva las demás de esa categoría	Alta	Integral
US-16	Calcular el período siguiente cuando el mes actual es diciembre	Sistema con fecha en diciembre	Configuración sin período explícito	1. Configurar la cuota sin indicar período	El sistema toma enero del año siguiente como período de aplicación	Media	Unitaria
US-16	Impedir configurar la cuota social sin rol de administrador	Usuario logueado sin rol ADMIN	Petición a POST /cuota-social	1. Enviar la configuración con un usuario SOCIO o COLABORADOR	El sistema responde 403 (sin permisos suficientes)	Alta	No funcional
US-16	Obtener la cuota vigente de una categoría para el mes actual	Existen configuraciones de períodos pasados y futuros	categoriaId válido	1. Consultar la cuota vigente de la categoría	El sistema devuelve la configuración del período más reciente que ya esté vigente, ignorando las futuras	Media	Funcional
US-32	Registrar una operación en el log de auditoría	Usuario logueado que ejecuta una operación auditable	Acción, entidad, id de entidad, responsable y detalle	1. Ejecutar una operación auditable (alta, edición o baja)	El sistema inserta un registro en el log con la acción, la entidad, el responsable y el detalle de la operación	Alta	Funcional
US-32	Garantizar que el log es inalterable	Existen registros en el log	Superficie del servicio de auditoría	1. Revisar las operaciones que expone el servicio de auditoría	El servicio solo permite insertar y consultar: no expone modificación ni borrado de registros	Alta	No funcional
US-32	No dejar registro si la operación auditada falla	Usuario logueado	Operación que se interrumpe después de auditar	1. Ejecutar una operación auditable que falle antes de confirmarse	El registro de auditoría se descarta junto con la operación: no queda rastro de algo que no ocurrió	Alta	Integral
US-32	Filtrar el log por tipo de acción	Administrador logueado; el log tiene registros de varias acciones	accion BAJA	1. Abrir Auditoría / 2. Filtrar por la acción BAJA	El sistema devuelve únicamente los registros de esa acción	Alta	Funcional
US-32	Filtrar el log por entidad y por responsable	Administrador logueado; el log tiene registros de varias entidades y responsables	entidad "Inscripcion" y responsableId válido	1. Filtrar por entidad y responsable	El sistema devuelve solo los registros que cumplen las dos condiciones	Media	Funcional
US-32	Filtrar el log por rango de fechas	Administrador logueado; el log tiene registros de distintas fechas	fechaDesde y fechaHasta	1. Filtrar indicando el rango de fechas	El sistema devuelve solo los registros comprendidos en ese rango	Media	Funcional
US-32	Paginar el log y devolver el total de registros	Administrador logueado; el log tiene más registros que el tamaño de página	pagina 2, porPagina 20	1. Consultar la segunda página del log	El sistema devuelve los registros de esa página junto con el total, ordenados del más reciente al más antiguo	Media	Funcional
US-32	Rechazar un filtro con una acción inexistente	Administrador logueado	accion "INVENTADA"	1. Consultar el log filtrando por una acción que no existe	El sistema responde 400 sin devolver registros	Media	Unitaria
US-32	Impedir consultar el log sin rol de administrador	Usuario logueado sin rol ADMIN	Petición a GET /auditoria	1. Consultar el log con un usuario SOCIO, COLABORADOR o DELEGADO	El sistema responde 403 (sin permisos suficientes)	Alta	No funcional
